sim_id,utid,uid,experiment,sign,trial_name,judgement,judgement_accuracy,judgement_to_MAP,judgement_to_weighted_MAP,part_theta,part_indirect_errors,theta,sigma,internal_state,ground_truth,map_graph,accuracy,map_graph_weighted,accuracy_weighted,model_indirect_errors,theta_MAP,sigma_MAP,theta_MAP_weighted,sigma_MAP_weighted,converged,0->1,0->2,1->0,1->2,2->0,2->1,theta_H,sigma_H,num_indirect_links,indirect_links_loc
2-5f958e181381b5079be5d02f-crime_1-implausible-es_0.5_3.0-is_normative_&_1_,2-5f958e181381b5079be5d02f-crime_1-implausible,,2,,crime,[ 0.5  0.  -0.5  0.5 -0.5 -0.5],0.74392624,0.6963578066864164,0.696357807,0.5,1,0.5,3,normative_&_413,[ 1.  -0.5 -1.   0.5 -0.5  1. ],[ 1.  -0.5 -1.   0.5  0.   1. ],0.926077873,[ 1.  -0.5 -1.   0.5 -0.   1. ],0.926077873,1,,,,,,4.1500000000000004e-166,1.1999999999999999e-165,3.06e-118,4.33e-208,1.53e-57,4.1500000000000004e-166,,,6,[ True  True  True  True  True  True]
2-5f958e181381b5079be5d02f-estate_1-congruent-es_0.5_3.0-is_normative_&_1_,2-5f958e181381b5079be5d02f-estate_1-congruent,,2,,estate,[ 0.5 -1.   0.5  0.   0.   1. ],0.855158635,0.8604273684402294,0.860427368,0.5,0,0.5,3,normative_&_414,[ 0.5 -0.5  1.   0.   0.   0.5],[ 0.5 -0.5  1.   0.   0.   0.5],1.0,[ 0.5 -0.5  1.   0.  -0.   0.5],1.0,0,,,,,,3.17e-72,4.9300000000000004e-33,7.28e-21,6.36e-20,6.530000000000001e-224,9.16e-155,,,3,[ True False False  True  True False]
2-5f958e181381b5079be5d02f-finance_1-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f958e181381b5079be5d02f-finance_1-incongruent,,2,,finance,[ 0.5  0.5 -1.   0.5 -0.5  1. ],0.802614492,0.8132281580905929,0.813228158,0.5,0,0.5,3,normative_&_415,[ 0.   0.5  0.   0.5 -1.   1. ],[ 0.   0.5  0.   0.5 -1.   1. ],1.0,[-0.   0.5 -0.   0.5 -1.   1. ],1.0,0,,,,,,1.3399999999999999e-104,9.789999999999999e-61,2.1700000000000002e-65,9.789999999999999e-61,2.1700000000000002e-65,1.35e-104,,,2,[ True False  True False False False]
2-5f958e181381b5079be5d02f-pos_chain_2-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f958e181381b5079be5d02f-pos_chain_2-generic_0,,2,neg,chain,[-0.5  0.   0.  -1.   0.  -0.5],0.878732187,0.8778305556436947,0.877830556,0.5,0,0.5,3,normative_&_416,[-1  0  0 -1  0  0],[-1.  0.  0. -1.  0.  0.],1.0,[-1. -0. -0. -1. -0.  0.],1.0,0,,,,,,3.21e-60,4.42e-52,8.69e-60,2.4e-100,8.69e-60,3.01e-110,,,1,[False  True False False False False]
2-5f9a893d999ea71a0c6c4851-confound_1-generic_0-es_0.5_3.0-is_normative_&_1_,2-5f9a893d999ea71a0c6c4851-confound_1-generic_0,,2,neg,confound,[ 0.   0.5  0.  -0.5  0.   0. ],0.814304662,0.7905730458541522,0.790573046,0.5,0,0.5,3,normative_&_417,[-1.   0.5  0.  -1.   0.   0. ],[-1.   0.5  0.  -1.   0.   0. ],1.0,[-1.   0.5  0.  -1.  -0.   0. ],1.0,0,,,,,,5.05e-11,2.22e-12,7.31e-29,2.67e-17,2.66e-90,1.16e-82,,,1,[False  True False False False False]
2-5f9a893d999ea71a0c6c4851-crime_4-implausible-es_0.5_3.0-is_normative_&_1_,2-5f9a893d999ea71a0c6c4851-crime_4-implausible,,2,,crime,[-0.5  0.5 -0.5  0.5  0.5  0.5],0.648273771,0.6000000000000001,0.6,0.5,0,0.5,3,normative_&_418,[ 0.5 -1.  -1.   1.   0.5 -1. ],[ 0.5 -1.  -1.   1.   0.5 -1. ],1.0,[ 0.5 -1.  -1.   1.   0.5 -1. ],1.0,0,,,,,,1.0200000000000001e-103,7.98e-131,2.15e-96,2.8e-174,1.27e-187,2.8e-126,,,5,[ True  True  True False  True  True]
2-5f9a893d999ea71a0c6c4851-estate_4-incongruent-es_0.5_3.0-is_normative_&_1_,2-5f9a893d999ea71a0c6c4851-estate_4-incongruent,,2,,estate,[-1.   1.   1.   0.5 -1.   0.5],0.765021865,0.7846125524146785,0.784612552,0.5,0,0.5,3,normative_&_419,[-0.5  1.   1.   0.5  0.  -0.5],[-0.5  1.   1.   0.5  0.  -0.5],1.0,[-0.5  1.   1.   0.5 -0.  -0.5],1.0,0,,,,,,6.91e-110,1.08e-92,1.5099999999999999e-142,7.1e-133,9.08e-171,1.42e-120,,,4,[ True  True False  True  True False]
2-5f9a893d999ea71a0c6c4851-finance_4-congruent-es_0.5_3.0-is_normative_&_1_,2-5f9a893d999ea71a0c6c4851-finance_4-congruent,,2,,finance,[-0.5  1.   0.5  1.   1.  -0.5],0.686177043,0.7334699803659629,0.73346998,0.5,0,0.5,3,normative_&_420,[-0.5  0.5  0.   0.5 -0.5  0. ],[-0.5  0.5  0.   0.5 -0.5  0. ],1.0,[-0.5  0.5  0.   0.5 -0.5 -0. ],1.0,0,,,,,,5.9099999999999995e-89,4.76e-115,2.72e-102,2.95e-126,4.96e-114,4.55e-108,,,3,[False  True  True False False  True]
2-5fa01b6003aed3026366571c-crime_1-implausible-es_0.5_3.0-is_normative_&_1_,2-5fa01b6003aed3026366571c-crime_1-implausible,,2,,crime,[-0.5  1.  -0.5  0.   0.5  0.5],0.824136885,0.8013201464402434,0.801320146,0.5,0,0.5,3,normative_&_421,[-1.   0.5 -1.   0.5  1.   1. ],[-1.   0.5 -1.   0.5  1.   1. ],1.0,[-1.   0.5 -1.   0.5  1.   1. ],1.0,0,,,,,,5.51e-33,3.1599999999999998e-282,3.43e-188,0.0,3.43e-188,5.51e-33,,,6,[ True  True  True  True  True  True]
2-5fa01b6003aed3026366571c-estate_1-congruent-es_0.5_3.0-is_normative_&_1_,2-5fa01b6003aed3026366571c-estate_1-congruent,,2,,estate,[-1.  -0.5  1.  -1.   1.   1. ],0.867932364,0.8790283242181732,0.879028324,0.5,0,0.5,3,normative_&_422,[-0.5 -0.5  1.  -0.5  0.5  1. ],[-0.5 -0.5  1.  -0.5  0.5  1. ],1.0,[-0.5 -0.5  1.  -0.5  0.5  1. ],1.0,0,,,,,,2.58e-278,2.3099999999999997e-280,1.2000000000000002e-124,1.49e-215,2.7e-127,1.4e-108,,,6,[ True  True  True  True  True  True]
